Nome;Stagione;QI;QA;Diff;VI;VA;VFA
PEREZ N.;2022-23;7;9;2;0,7;0,8;0,75
CARLOS AUGUSTO;2022-23;8;18;10;1,5;2;1,75
EBOSELE;2022-23;2;1;-1;0,4;0,35;0,38
ORIGI;2022-23;17;12;-5;5,15;4,9;5,03
EDERSON D.S.;2022-23;8;8;0;0,95;0,95;0,95
DESSERS;2022-23;16;13;-3;0,7;0,55;0,62
FAZIO;2022-23;7;5;-2;0,05;0,05;0,05
LERIS;2022-23;3;4;1;0,05;0,1;0,08
OSTIGARD;2022-23;6;2;-4;0,05;0,05;0,05
COPPOLA D.;2022-23;1;2;1;0,25;0,3;0,28
JOVIC;2022-23;24;12;-12;10;9,4;9,7
KOSTIC;2022-23;18;16;-2;3,6;3,5;3,55
RADONJIC;2022-23;8;17;9;3,5;3,95;3,73
MATIC;2022-23;7;12;5;0,05;0,3;0,17
LINETTY;2022-23;4;7;3;0,05;0,2;0,12
PONGRACIC;2022-23;6;5;-1;0,2;0,15;0,18
STOJANOVIC;2022-23;7;4;-3;0,05;0,05;0,05
SEPE;2022-23;9;12;3;0,05;0,2;0,12
DI MARIA;2022-23;27;17;-10;7;6,5;6,75
POGBA;2022-23;23;12;-11;8;7,45;7,72
IBRAHIMOVIC;2022-23;12;2;-10;0,05;0,05;0,05
VALOTI;2022-23;5;2;-3;0,05;0,05;0,05
LASAGNA;2022-23;11;7;-4;1,1;0,9;1
MAZZOCCHI;2022-23;8;14;6;0,05;0,35;0,2
MOTA;2022-23;11;16;5;0,6;0,85;0,72
MATHEUS HENRIQUE;2022-23;7;6;-1;0,7;0,65;0,67
ESCALANTE;2022-23;3;3;0;0,05;0,05;0,05
VIGNATO S.;2022-23;1;1;0;0,05;0,05;0,05
MILIK;2022-23;20;26;6;2,9;3,2;3,05
POSCH;2022-23;14;16;2;0,3;0,4;0,35
BOVE;2022-23;1;2;1;0,05;0,1;0,08
KASIUS;2022-23;4;4;0;0,85;0,85;0,85
VRANCKX;2022-23;5;3;-2;0,5;0,4;0,45
THIAW;2022-23;6;4;-2;0,55;0,45;0,5
BOTHEIM;2022-23;12;8;-4;0,05;0,05;0,05
TERRACCIANO F.;2022-23;2;5;3;0,05;0,2;0,12
BALDANZI;2022-23;4;16;12;2;2,6;2,3
WINKS;2022-23;7;2;-5;1;0,75;0,88
COLOMBO;2022-23;6;14;8;1;1,4;1,2
DEST;2022-23;6;4;-2;1,5;1,4;1,45
ALVAREZ A.;2022-23;13;12;-1;3;2,95;2,98
FALCONE;2022-23;7;14;7;0,05;0,4;0,23
PUSSETTO;2022-23;6;2;-4;0,05;0,05;0,05
ZANIMACCHIA;2022-23;10;5;-5;0,05;0,05;0,05
PAREDES;2022-23;15;7;-8;4,3;3,9;4,1
CAMARA MA.;2022-23;8;8;0;0,05;0,05;0,05
DIA;2022-23;18;28;10;0,4;0,9;0,65
AMPADU;2022-23;6;8;2;0,05;0,15;0,1
LAURIENTE';2022-23;14;21;7;0,15;0,5;0,33
GENDREY;2022-23;5;5;0;0,05;0,05;0,05
VILLAR;2022-23;7;4;-3;0,05;0,05;0,05
UMTITI;2022-23;6;6;0;2,05;2,05;2,05
HOJLUND;2022-23;7;18;11;2,9;3,45;3,17
BONDO;2022-23;1;1;0;0,05;0,05;0,05
BELOTTI;2022-23;15;6;-9;1;0,55;0,78
TOLJAN;2022-23;6;4;-2;0,05;0,05;0,05
SOULE';2022-23;1;4;3;0,2;0,35;0,28
CELIK;2022-23;8;4;-4;0,45;0,25;0,35
MORO N.;2022-23;6;6;0;0,05;0,05;0,05
PIATEK;2022-23;14;17;3;0,05;0,2;0,12
KYRIAKOPOULOS;2022-23;8;8;0;2,25;2,25;2,25
